complaint_id,complaint_brand,complaint_model,complaint_type,complaint_desc,complaint_problem,complaint_time,complaint_status
523763,吉利汽车,帝豪GS,2016款 1.3T 手动 领尚型 优雅版,吉利帝豪GS倒车影像摄像头进水希望解决,"H134,",2020-09-18,信息审核
523759,广汽乘用车,传祺GA6,2016款 235T DCT 豪华版,广汽传祺GA6变速箱顿挫 加速时动力中断,"B19,B334,",2020-09-18,信息审核
523758,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华动感型,一汽大众奥迪A6L变速箱持续产生异响,"B33,",2020-09-18,信息审核
523757,广汽新能源,Aion S(埃安S),2019款 魅Evo 630,广汽新能源Aion埃安S续航里程严重虚标,"M279,",2020-09-18,处理反馈
523756,上汽通用五菱,新宝骏RS-5,2020款 300T CVT 智能旗舰型,新宝骏RS-5制动助力系统故障异响质量差,"E43,",2020-09-18,处理反馈
523754,广汽本田,雅阁,2018款 260TURBO 豪华版 国V,广汽本田雅阁发动机失速要求厂家处理,"A255,",2020-09-18,处理反馈
523753,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾LED大灯透镜存在白雾,"H82,",2020-09-18,信息审核
523752,东风日产,天籁,2020款 改款 2.0L XL 舒适版,东风日产天籁油箱异响存在质量问题,"H147,",2020-09-18,信息审核
523749,广汽三菱,欧蓝德,2019款 2.0L 两驱 畅享版 5座 国VI,广汽三菱欧蓝德后排安全带无法抽出,"H118,",2020-09-18,厂家受理
523745,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国V,一汽大众奥迪A4L变速箱异响要求厂家解决,"B33,",2020-09-18,信息审核
523744,长城汽车,WEY VV5,2017款 VV5 旗舰型,WEY VV5延保费用4S店拖延不退还,"I282,L314,",2020-09-18,信息审核
523742,奇瑞汽车,艾瑞泽EX,2019款 1.5L CVT 乐活版 国V,奇瑞艾瑞泽EX车身A柱异响 4S店查不出原因,"H15,H93,",2020-09-18,信息审核
523729,一汽-大众,迈腾,2018款 330TSI DSG 豪华型 改款,一汽大众迈腾玻璃升降过程中异响,"H72,",2020-09-18,信息审核
523728,猎豹汽车,Mattu,2018款 1.6T GDI DCT 尊贵型,猎豹Mattu变速箱无法加速 售后无配件,"B334,N318,",2020-09-18,信息审核
523725,奇瑞汽车,艾瑞泽M7,2015款 1.8L 手动 宽适版 232座,奇瑞艾瑞泽M7两侧车门爆漆锈蚀严重,"H79,H81,",2020-09-18,信息审核
523724,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L变速箱异响要求尽快解决,"B33,",2020-09-18,信息审核
523719,一汽-大众,探岳,2019款 330TSI 两驱 豪华型Plus 国VI,一汽大众探岳左右两侧车灯发白有手印,"H82,",2020-09-18,信息审核
523716,奇瑞汽车,捷途X70,2018款 1.5T 手动 悦行版,捷途X70车门胶条异响 减震器异响,"G52,G245,H72,",2020-09-18,信息审核
523710,一汽-大众奥迪,奥迪A6L,2020款 40 TFSI 豪华致雅型,一汽大众奥迪A6L新车第二天变速箱抖动,"B95,",2020-09-18,信息审核
523709,广汽丰田,雷凌,2019款 双擎 1.8H E-CVT 运动版 国VI,广汽丰田雷凌转向机过热转向沉4S店未解决,"D156,J298,J301,",2020-09-18,处理反馈
523707,北京现代,途胜,2019款 280TGDi 双离合 两驱 时尚版 国VI,北京现代途胜车漆开裂4S店拒绝维修,"H79,I297,",2020-09-18,信息审核
523706,奇瑞汽车,瑞虎3,2018款 1.6L 手动 豪华型 经典版,奇瑞瑞虎3更换离合器片后变速箱一直漏油,"B22,J300,",2020-09-18,信息审核
523699,星途,星途LX,2019款 1.6T DCT 星耀版,星途LX 99元享受1000元油卡承诺不兑现,"L313,",2020-09-18,信息审核
523698,上汽大众,朗逸,2017款 1.6L 手动 风尚版,上汽大众朗逸行驶中自动解锁 车门自动打开,"H197,",2020-09-18,信息审核
523694,北京现代,名图,2016款 1.8L 自动 智能型GLS,北京现代名图倒车影像模糊希望处理,"H134,",2020-09-18,信息审核
523693,东风标致,标致2008,2014款 1.6L 自动 时尚版,东风标致2008变速箱顿挫掉挡无法加速,"B19,B334,B246,",2020-09-18,信息审核
523692,东风日产,逍客,2016款 2.0L CVT 精英版,东风日产逍客发动机故障灯亮变速箱顿挫,"A34,B19,",2020-09-18,信息审核
523686,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L变速箱顿挫异响 四驱故障,"B33,B19,H86,I295,I281,",2020-09-18,信息审核
523683,一汽红旗,红旗H5,2020款 1.8T 自动 智联旗享版,红旗H5新车发现发动机舱内螺丝有拧动痕迹,"M284,",2020-09-18,信息审核
523682,一汽-大众,迈腾,2018款 330TSI 领先型,一汽大众迈腾仪表提示变速箱处于紧急运行状态,"B96,",2020-09-18,处理反馈
523681,长安马自达,马自达CX-5,2020款 2.0L 自动 两驱 智慧型,长安马自达CX-5优科豪马轮胎开裂要求解决,"F100,I297,",2020-09-18,信息审核
523678,华晨宝马,宝马X1,2019款 sDrive20Li 领先型,华晨宝马X1左后轮处异响严重希望处理,"G125,",2020-09-18,信息审核
523676,汉腾汽车,汉腾X5,2018款 1.5T CVT 精英版,汉腾X5冷却液进入发动机水温过高无法行驶,"A191,",2020-09-18,厂家受理
523675,广汽本田,雅阁,2018款 2.0L 锐领版 锐·混动 国V,广汽本田雅阁维修注意事项未提前告知,"O296,",2020-09-18,用户评分
523670,陆风汽车,陆风X5,2016款 1.5T CVT 创享版 Plus,陆风X5变速箱挂前进挡踩油门无法加速,"B334,H146,",2020-09-18,信息审核
523667,东风悦达起亚,起亚KX5,2016款 1.6T 自动 两驱DLX,东风悦达起亚KX5发动机故障灯亮 空调不制冷,"A24,A34,H101,",2020-09-18,信息审核
523666,陆风汽车,陆风X7,2015款 2.0T 全景尊贵版,陆风X7变速箱升挡困难顿挫打滑希望处理,"B19,B20,B69,",2020-09-18,信息审核
523664,上汽大众,朗逸,2019款 1.5L 自动 舒适版 国VI,上汽大众朗逸发动机加速有金属敲击声,"A9,",2020-09-18,信息审核
523659,一汽-大众,宝来,2019款 改款 280TSI DSG 豪华型 国VI,一汽大众宝来冷车低速行驶刹车异响严重,"E43,",2020-09-18,用户评分
523657,吉利汽车,远景X6,2018款 1.8L 手动 4G互联尊贵型,吉利远景X6离合分泵漏油希望尽快处理,"C207,",2020-09-18,信息审核
523656,海马汽车,海马S5青春版,2018款 1.6L CVT 豪华型,海马S5青春版车门边角开裂生锈用料不扎实,"H79,H168,",2020-09-18,信息审核
523654,东风日产,奇骏,2019款 2.0L CVT 舒适版 5座 2WD,东风日产奇骏方向盘左右高度不一致,"D154,",2020-09-18,处理反馈
523653,一汽解放,解放J6P,4.2米高栏,一汽解放J6F后桥断裂导致车辆侧翻,"G230,",2020-09-18,信息审核
523651,奇瑞新能源,瑞虎3xe,2018款 400 畅享版,奇瑞新能源瑞虎3xe备用钥匙无法启动,"H119,I294,",2020-09-18,厂家受理
523645,广汽本田,奥德赛,2019款 2.0L 锐·尊享版,广汽本田奥德赛新车钣金装配工艺太差,"H209,",2020-09-18,用户评分
523644,广汽本田,冠道,2017款 240TURBO CVT 两驱 豪华版,广汽本田冠道车门异响希望尽快解决,"H72,",2020-09-18,处理反馈
523643,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞前轮左右半轴漏油,"G51,",2020-09-18,处理反馈
523641,上汽大众,朗逸,2018款 280TSI DSG 舒适版 国V,上汽大众朗逸发动机启动后怠速过高,"A35,",2020-09-18,信息审核
523636,华晨宝马,宝马X1,2012款 X1 sDrive18i 2.0 自动 时尚型,华晨宝马X1经销商维修技术差 操作不规范 ,"A24,A14,A114,I295,I293,J299,K307,L314,",2020-09-18,信息审核
523627,一汽-大众奥迪,奥迪Q5L,2020款 45 TFSI 尊享时尚型,一汽大众奥迪Q5L电瓶故障导致无法启动,"H146,",2020-09-18,信息审核
523626,江铃福特,领界,2019款 EcoBoost 145 CVT 铂领型 国V,江铃福特领界底盘左侧异响希望解决,"G56,",2020-09-18,处理反馈
523623,东风日产,逍客,2019款 2.0L CVT 豪华版,东风日产逍客车身漆面脱落而且生锈,"H79,H81,",2020-09-18,处理反馈
523622,东风日产,轩逸,2020款 1.6L XL CVT 悦享版,东风日产轩逸变速箱异响 不提供维修工单,"B33,O324,",2020-09-18,用户评分
523621,上汽大众,途观,2017款 300TSI 自动 两驱 丝绸之路舒适版,上汽大众途观仪表故障灯报警要求解决,"H110,",2020-09-18,信息审核
523620,大运,货车,轻型货车,大运轻型货车电机螺丝松动断裂要求解决,"A145,",2020-09-18,信息审核
523618,北京现代,现代ix25,2015款 1.6L 自动 两驱 时尚型 GS 5座,北京现代ix25 4S店维修未使用原厂配件,"N319,",2020-09-18,信息审核
523614,一汽-大众,速腾,2018款 280TSI DSG熠动版,一汽大众速腾车辆出险4S店维修后电瓶损坏,"J300,",2020-09-18,处理反馈
523613,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动转向异响锁死故障灯亮,"D59,D123,D291,",2020-09-18,信息审核
523612,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型典藏版,一汽大众奥迪Q3后排座椅靠背褶皱,"H169,",2020-09-18,信息审核
523610,华晨宝马,宝马3系,2020款 325Li M运动套装,华晨宝马3系新车防冻液漏光无法行驶,"A37,",2020-09-18,处理反馈
523609,长安跨越,跨越王X5,2018款 1.5L 标准型 单排 后双轮 标准货箱 DK15C,长安跨越王X5吃胎偏磨影响安全行驶,"G245,",2020-09-18,处理反馈
523604,上汽大众,凌渡,2015款 280TSI DSG 舒适版,上汽大众凌渡变速箱无法加速无法换挡,"B20,B334,",2020-09-18,信息审核
523602,广汽丰田,凯美瑞,2006款 240V 2.4 自动 导航版,广汽丰田凯美瑞中控仪表台出油软化,"H176,",2020-09-18,处理反馈
523600,东风标致,标致3008,2013款 1.6T 自动 THP至尚版,东风标致3008发动机烧机油油表指示不准,"A63,H271,",2020-09-18,用户评分
523599,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳大灯发白更换后未解决,"H82,",2020-09-18,用户评分
523590,奇瑞汽车,艾瑞泽5,2017款 1.5L 手动 领潮版,奇瑞艾瑞泽5出保两个月空调压缩机异响,"H101,I297,",2020-09-18,处理反馈
523588,一汽丰田,RAV4荣放,2020款 2.0L CVT 两驱 风尚版,一汽丰田RAV4荣放新车出现系统报警,"M284,",2020-09-18,信息审核
523579,陕汽通家,福家,2014款 电动 厢式运输车 标准型,陕汽通家福家行驶途中蓄电池发生自燃,"H40,I295,",2020-09-18,信息审核
523566,一汽丰田,皇冠,2015款 2.0T 豪华版,一汽丰田皇冠预碰撞系统失灵导致追尾前车,"H170,",2020-09-18,信息审核
523563,一汽吉林,森雅R7,2016款 1.6L 自动 豪华型,一汽森雅R7发动机缺缸启动时异响,"A9,A34,",2020-09-18,信息审核
523562,长城汽车,哈弗H5,2018款 2.0T 手动 四驱 尊贵型 经典版 柴油,哈弗H5发动机无法启动存在质量问题,"A44,J299,",2020-09-18,厂家受理
523560,北京现代,名图,2019款 1.8L 自动 智能型GLS 纪念款 国V,北京现代名图冷车启动发动机异响疑似拉缸,"A9,A329,",2020-09-18,信息审核
523558,广汽讴歌,讴歌CDX,2019款 1.5T 两驱 畅享版,广汽讴歌CDX变速箱漏油顿挫厂家不处理,"B19,B22,",2020-09-18,用户评分
523557,一汽-大众,迈腾,2019款 380TSI DSG 豪华型 国VI,一汽大众迈腾电瓶故障导致无法启动,"E111,H146,",2020-09-18,处理反馈
523556,一汽-大众,速腾,2017款 1.6L 自动 舒适型,一汽大众速腾左前轮速传感器损坏,"H234,",2020-09-18,用户评分
523555,广汽丰田,凯美瑞,2015款 2.0G 自动 领先版,广汽丰田凯美瑞左右两侧半轴防尘套漏油,"G161,",2020-09-18,用户评分
523552,广汽丰田,YARiS L 致炫,2019款 1.5E CVT 魅动版 国VI,广汽丰田致炫行驶中方向盘无法自动回正,"D265,",2020-09-18,处理反馈
523551,一汽-大众奥迪,奥迪Q5L,2018款 40 TFSI 荣享时尚型 国V,一汽大众奥迪Q5L全轮驱动系统故障,"H86,",2020-09-18,信息审核
523548,东风悦达起亚,起亚K3,2019款 1.5L CVT 新锐版,东风悦达起亚K3大灯远近光不亮不予保修,"H82,I297,",2020-09-18,信息审核
523537,东风日产,轩逸,2019款 1.6XL CVT 豪华版 经典,东风日产轩逸变速箱异响低速顿挫,"B33,B19,B95,",2020-09-18,用户评分
523533,一汽-大众,探岳,2020款 330TSI 两驱 豪华智联版,一汽大众探岳前大灯亮度不足影响行驶安全,"H82,",2020-09-18,处理反馈
523531,北京现代,索纳塔九,2015款 1.6T 双离合 GLS智能型,北京现代索纳塔九发动机烧机油4S店不处理,"A63,I295,I294,",2020-09-18,信息审核
523529,一汽-大众,速腾,2019款 200TSI DSG 舒适型 国VI,一汽大众速腾两后车门多次漏水要求解决,"H109,J298,",2020-09-18,处理反馈
523524,东风日产,奇骏,2020款 2.0L XL Premium CVT 2WD 智联尊享版,东风日产奇骏刹车异响 中控屏黑屏,"A24,E43,H134,",2020-09-18,处理反馈
523523,东风标致,标致301,2016款 1.6L 自动 舒适版,东风标致301油表不准 ABS传感器经常损坏,"E74,H78,",2020-09-18,处理反馈
523522,凯翼汽车,凯翼C3R,2016款 1.5L 彩钻版,凯翼C3R变速箱无法换挡导致无法行驶,"B20,",2020-09-18,信息审核
523521,奔驰（进口）,奔驰S级,2012款 S350L 3.5L GrandEdition,进口奔驰S级发动机故障灯亮行驶熄火,"A9,A34,A14,J298,J300,",2020-09-18,信息审核
523520,众泰汽车,众泰Z500,2015款 1.5T 手动 尊贵型,众泰Z500质保期内出现的质量问题不予索赔,"I297,",2020-09-18,信息审核
523519,北汽银翔,幻速S3L,2016款 1.5L 尊贵型,北汽幻速S3L发动机报警 后桥异响 中控失灵,"A34,G158,H134,",2020-09-18,信息审核
523516,上汽大众,凌渡,2015款 280TSI DSG 豪华版,上汽大众凌渡车内有严重刺鼻异味,"H185,",2020-09-18,信息审核
523512,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯有白雾影响夜间亮度,"H82,",2020-09-18,处理反馈
523509,上汽大众,途观L,2020款 330TSI 自动 两驱 全景舒适版 国VI,上汽大众途观L天窗漏水车门缝隙大,"H90,H149,I295,",2020-09-18,信息审核
523508,广汽丰田,雷凌,2019款 185T CVT 豪华版 国VI,广汽丰田雷凌发动机舱进泥沙希望处理,"Q322,",2020-09-18,处理反馈
523507,东风日产,轩逸,2018款 1.6XV CVT 尊享版,东风日产轩逸两前大灯老化起皮变色,"H220,",2020-09-18,用户评分
523506,上汽大众,朗逸,2017款 1.6L 自动 风尚版,上汽大众朗逸变速器异响严重希望处理,"B33,",2020-09-18,信息审核
523504,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408冷车启动发动机故障灯亮,"A34,",2020-09-18,处理反馈
523496,猎豹汽车,猎豹CS9,2017款 1.5L CVT 舒适型,猎豹CS9车机系统停止服务4S店退网无售后,"H155,O348,",2020-09-18,信息审核
523493,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸变速箱异响严重希望处理,"B33,",2020-09-18,信息审核
523492,海马汽车,海马爱尚EV,2019款 爱尚360 领先版,海马爱尚EV中控显示屏不能使用要求解决,"H134,",2020-09-18,信息审核
523489,华晨中华,中华V7,2019款 300T 自动 旗舰型 5座,华晨中华V7车辆远程控制一直无法使用,"A85,H164,H155,",2020-09-18,信息审核
523487,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国Ⅵ,一汽大众探岳大灯亮度不足要求解决,"H82,",2020-09-18,处理反馈
523486,一汽-大众,速腾,2014款 1.4TSI 自动 时尚型,一汽大众速腾变速箱抖动异响希望处理,"B33,B95,",2020-09-18,处理反馈
523484,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动ABS和ESP故障灯报警,"E74,H170,",2020-09-18,信息审核
523483,一汽-大众,迈腾,2019款 330TSI DSG 领先型 国VI,一汽大众迈腾固特异轮胎掉皮厂家拒绝索赔,"F186,I297,",2020-09-18,处理反馈
523482,吉利汽车,帝豪GS,2016款 1.3T 自动 臻尚型 运动版,吉利帝豪GS变速箱换挡异响抖动要求解决,"B33,B95,",2020-09-18,用户评分
523481,长城汽车,风骏5,2017款 2.0T 两驱 欧洲版 柴油 精英型 大双排GW4D20B,长城风骏5发动机连杆掉落打坏缸体,"A128,",2020-09-18,厂家受理
523477,长安汽车,锐程CC,2020款 1.5T 自动 酷锐型,长安锐程CC方向盘转动异响 车机不能升级,"D59,H155,",2020-09-18,用户评分
523476,上汽大众,朗行,2014款 1.4TSI 自动 运动版,上汽大众朗行变速箱损坏挂挡无法行驶,"B334,",2020-09-18,信息审核
523474,一汽丰田,RAV4荣放,2016款 2.0L CVT 两驱 风尚版 国V,一汽丰田RAV4荣放左右半轴防尘套漏油,"G51,",2020-09-18,信息审核
523470,北京现代,菲斯塔,2019款 280TGDi 运动版 国V,北京现代菲斯塔内饰塑料件自然开裂,"H168,",2020-09-18,信息审核
523468,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 运动型 国VI,一汽大众奥迪A4L低速变速箱异响拖挡,"B33,B69,",2020-09-18,信息审核
523467,广汽本田,飞度,2014款 1.5L CVT LX舒适型,广汽本田飞度发动机冷车启动有打齿声,"A9,",2020-09-18,用户评分
523466,上汽大众,朗逸,2019款 280TSI DSG 舒适版 国VI,上汽大众朗逸变速箱换挡异响顿挫严重,"B33,B19,",2020-09-18,信息审核
523463,奇瑞汽车,瑞虎8,2019款 1.6TGDI 自动 豪华型,奇瑞瑞虎8后排座椅塌陷异响厂家不解决,"H169,I295,",2020-09-18,用户评分
523462,猎豹汽车,猎豹CS9,2017款 1.5L 手动 舒适型,猎豹CS9售后维修无配件需自费解决,"L314,",2020-09-18,信息审核
523461,长城汽车,哈弗H2,2014款 1.5T 手动 两驱精英版 5座,哈弗H2原地打方向异响要求厂家尽快解决,"D59,",2020-09-18,厂家受理
523455,广汽菲克菲亚特,菲翔,2012款 1.4T 自动 劲享版,广汽菲亚特菲翔变速箱失效无法行驶,"B115,",2020-09-18,厂家受理
523452,一汽丰田,RAV4荣放,2020款 2.0L CVT 四驱 风尚版,一汽丰田RAV4荣放前后保险杠有明显色差,"H201,",2020-09-18,信息审核
523446,东风日产,轩逸,2019款 1.6XV CVT 智联尊享版 国V,东风日产轩逸中控屏重启无故关闭,"H134,",2020-09-18,处理反馈
523444,北京现代,领动,2016款 1.6L 自动 智炫·精英型,北京现代领动ABS故障灯与防侧滑故障灯亮,"E74,E62,",2020-09-18,信息审核
523443,一汽-大众,速腾,2018款 280TSI 双离合 舒适型,一汽大众速腾踩油门加速变速箱有异响,"B33,",2020-09-18,处理反馈
523441,北京现代,胜达,2015款 2.0T 自动 两驱 智能型 5座,北京现代胜达车辆定损维修4S店配件未到货,"N318,",2020-09-18,信息审核
523433,一汽-大众,探岳,2019款 330TSI 两驱 豪华型 国V,一汽大众探岳前灯透镜发生白雾影响照明,"H82,N317,",2020-09-18,处理反馈
523432,一汽-大众奥迪,奥迪Q3,2018款 30 TFSI 时尚型 30周年年型,一汽大众奥迪Q3转向与涡轮异响严重,"A9,A189,D59,",2020-09-18,信息审核
523429,吉利汽车,帝豪GS,2018款 1.8L 自动 优雅版 领尚型,吉利帝豪GS起步动力消失 变速箱换挡异响,"A255,B33,",2020-09-18,处理反馈
523427,广汽丰田,汉兰达,2018款 2.0T 四驱 骑士版 7座 国VI,广汽丰田汉兰达加装屏幕与宣传不符,"M279,",2020-09-18,处理反馈
523425,猎豹汽车,猎豹CS9,2017款 1.5L CVT 精英型,猎豹CS9中控系统停止运行影像正常使用,"H155,",2020-09-18,信息审核
523424,猎豹汽车,猎豹CS9,2017款 1.5L CVT 舒适型,猎豹CS9中控显示系统停止运行要求解决,"H155,",2020-09-18,信息审核
523423,上汽大众,凌渡,2015款 280TSI DSG 舒适版,上汽大众凌渡变速箱脱挡 提示故障,"B96,B334,B246,",2020-09-18,信息审核
523422,北京现代,途胜,2015款 1.6T   双离合 两驱 智能型,北京现代途胜召回升级后动力不足油耗高,"A38,A163,A85,B69,O348,",2020-09-18,信息审核
523420,一汽-大众,宝来,2020款 1.5L 手动 舒适型,一汽大众宝来1200-1400转时车身方向盘共振,"H268,",2020-09-18,处理反馈
523414,奇瑞汽车,瑞虎8,2020款 290TGDI 自动 尊贵版,奇瑞瑞虎8大灯盲区过大影响驾驶安全,"Q322,",2020-09-18,处理反馈
523413,保时捷,Macan,2018款 3.0T Macan S,保时捷Macan发动机漏油4S店未经允许维修,"A12,O305,",2020-09-18,信息审核
523409,长城汽车,炮,2020款 2.0T 自动 柴油 四驱 舒适版 GW4D20M,长城炮售后保养未按规定使用全合成机油,"J299,",2020-09-18,厂家受理
523408,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408加满油后发动机故障灯亮,"A34,A35,",2020-09-17,处理反馈
523407,比亚迪,比亚迪e5,2018款 450 智联 尊享型,比亚迪e5充电系统故障存在质量问题,"H340,",2020-09-17,处理反馈
523403,比亚迪,比亚迪e5,2016款 300 舒适型,比亚迪e5动力电池衰减严重希望厂家解决,"H343,",2020-09-17,处理反馈
523400,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸发动机敲缸存在质量问题,"A18,",2020-09-17,信息审核
523399,北京现代,朗动,2016款 1.6L 自动 尊贵型,北京现代朗动车门内拉手装饰盖腐蚀,"H157,",2020-09-17,信息审核
523395,猎豹汽车,猎豹CS9,2017款 1.5L CVT 风尚型,猎豹CS9系统用户界面停止运行影响使用,"H155,",2020-09-17,信息审核
523394,长城汽车,长城C50,2012款 1.5T 精英型,长城C50车身框架生锈严重存在质量问题,"H79,",2020-09-17,厂家受理
523391,上汽大众,途观,2016款 300TSI 自动 四驱 豪华版,上汽大众途观差速器异响要求厂家解决,"G127,",2020-09-17,处理反馈
523390,长安沃尔沃,沃尔沃S80L,2011款 T4 智尊版,长安沃尔沃S80L变速箱故障灯亮要求处理,"B96,",2020-09-17,信息审核
523386,吉利汽车,远景X3,2020款 1.5L CVT 精英型,吉利远景X3发动机抖动无法加速4S店未解决,"A24,A160,J298,",2020-09-17,处理反馈
523380,上汽大众,凌渡,2019款 230TSI DSG 风尚版 国V,上汽大众凌渡车辆无法启动4S店不予解决,"H110,I295,I293,",2020-09-17,处理反馈
523379,一汽-大众,宝来,2019款 1.5L 手动 时尚型,一汽大众宝来车身漆面起泡后备箱异响,"H81,H168,H68,",2020-09-17,处理反馈
523378,北京奔驰,奔驰GLA,2018款 200 动感型,北京奔驰GLA轮胎吃胎偏磨4S拒绝处理,"G245,",2020-09-17,信息审核
523374,一汽奔腾,奔腾B50,2013款 1.6L 手动 豪华型,奔腾B50车身漆面生锈严重要求解决,"H79,",2020-09-17,信息审核
523373,长城汽车,炮,2019款 2.0T 商用版 手动 四驱 精英型 长箱 GW4C20B 汽油,长城炮四驱行驶时严重异响4S店不予解决,"H86,",2020-09-17,信息审核
523372,北京现代,索纳塔,2020款 380TGDi GS 自动 智享版,北京现代索纳塔启动机故障车辆无法启动,"A44,",2020-09-17,信息审核
523368,长安汽车,长安CS95,2019款 2.0T 四驱 豪华型,长安CS95车道辅助以及网络出现乱码,"H155,H170,",2020-09-17,信息审核
523360,汉腾汽车,汉腾X7,2018款 X7S 2.0T 手动 豪华型,汉腾X7变速箱漏油厂家无法提供配件,"B22,N318,",2020-09-17,厂家受理
523358,奇瑞汽车,捷途X70,2020款 1.5T DCT 畅行版 6座,捷途X70减震器异响更换后未解决,"D265,G52,",2020-09-17,处理反馈
523356,猎豹汽车,猎豹CS9,2017款 1.5L CVT 风尚型,猎豹CS9系统水温过高系统界面停止运行,"A191,H155,",2020-09-17,信息审核
523355,福特（进口）,探险者（进口）,2018款 2.3T 精英版,进口福特探险者前减震器撞击声异响,"G52,",2020-09-17,厂家受理
523348,一汽-大众,迈腾,2017款 330TSI DSG 领先型,一汽大众迈腾变速箱机电单元故障,"B115,",2020-09-17,用户评分
523341,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达电瓶亏电 无法启动车辆,"H146,",2020-09-17,处理反馈
523338,SWM斯威汽车,SWM斯威X7,2018款 1.5T 自动 智享互联版 7座,斯威X7变速箱挂挡时顿挫 发动机抖动,"A24,B19,",2020-09-17,处理反馈
523330,一汽丰田,卡罗拉,2019款 双擎 1.8L E-CVT GL-i精英版,一汽丰田卡罗拉车窗升降晃动 车身颠簸异响,"D123,E43,G204,H15,H67,",2020-09-17,信息审核
523326,东风日产,骐达TIIDA,2021款 1.6L CVT 智行版,东风日产骐达电瓶亏电导致无法启动,"H146,",2020-09-17,用户评分
523314,北京现代,领动,2019款 1.4T 双离合 炫动·活力型,北京现代领动保养时经销商刮伤轮毂,"J299,J304,",2020-09-17,信息审核
523308,上汽大众,朗逸,2017款 1.6L 自动 舒适版,上汽大众朗逸车内异味严重影响健康,"H185,",2020-09-17,处理反馈
523307,东风本田,INSPIRE,2019款 260TURBO 精致版 国VI,东风本田INSPIRE方向异响希望得到处理,"D59,",2020-09-17,处理反馈
523299,华晨宝马,宝马X1,2020款 xDrive25Li 尊享型,华晨宝马X1轮胎有补胎痕迹4S店销售问题车,"M284,",2020-09-17,处理反馈
523298,一汽-大众奥迪,奥迪Q5L,2020款 40 TFSI 荣享时尚型,一汽大众奥迪Q5L后座椅下部网关进水,"H109,",2020-09-17,信息审核
523296,长安汽车,长安欧尚A800,2017款 1.5T 手动 尊享型,长安欧尚A800电子风扇保险频繁烧蚀,"H110,",2020-09-17,厂家受理
523294,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 进取型 国V,一汽大众奥迪A4L变速箱阀体损坏存在隐患,"B84,",2020-09-17,信息审核
523292,福田汽车,欧曼,2008款 BJ4181SLFJA-6 牵引,福田欧曼车架断裂希望厂厂家处理问题,"G230,",2020-09-17,信息审核
523290,猎豹汽车,猎豹CS10,2017款 2.0T 手动 卓越型,猎豹CS10转向机故障4S店拒绝质保,"D59,D265,",2020-09-17,信息审核
523289,一汽-大众,探岳,2019款 330TSI 两驱 舒适型 国Ⅵ,一汽大众探岳大灯不亮希望尽快处理,"H82,",2020-09-17,用户评分
523284,长安马自达,马自达CX-30,2020款 2.0L 自动 领悦型,长安马自达CX-30安全气囊铺助系统故障,"H103,",2020-09-17,信息审核
523278,上汽大众,朗逸,2019款 朗逸启航 1.5L 自动 风尚版 国VI,上汽大众朗逸行驶中发动机支架断裂,"A145,H168,",2020-09-17,用户评分
523277,东风日产,奇骏,2014款 2.5L XL CVT 四驱 豪华版,东风日产奇骏空调漏氟不制冷天窗漏水,"H101,H90,",2020-09-17,处理反馈
523276,一汽-大众奥迪,奥迪Q5,2013款 40 TFSI 自动 技术型,一汽大众奥迪Q5天窗和刹车异响 车内有异味,"E43,H185,H89,",2020-09-17,信息审核
523272,上汽大众,途观L,2019款 改款 330TSI 自动 两驱 智动豪华版 国VI,上汽大众途观L发动机抖动 后排座椅漏水,"A9,A24,H109,",2020-09-17,处理反馈
523270,东风风行,风行T5L,2020款 改款 1.5T 自动 豪华型 7座,东风风行T5L刹车盘磨损4S店置换补贴未兑现,"B19,E239,I295,L313,",2020-09-17,处理反馈
523269,奔驰（进口）,奔驰CLA,2016款 220 4MATIC 改款,进口奔驰CLA变速箱输出轴磨损4S店不保修,"B77,I297,",2020-09-17,信息审核
523268,吉利汽车,熊猫,2009款 1.3L 自动 灵动版,吉利熊猫转向助力突然失效EPS报警,"D156,H170,",2020-09-17,处理反馈
